,0
Equity(2 [FLOW]),29.74325960131247
Equity(6 [TFUEL]),48.43772466674964
Equity(1 [AVAX]),50.526018479098475
Equity(3 [MANA]),54.44413979930536
Equity(0 [ADA]),60.89063761622595
Equity(5 [SOL]),67.09842516562313
Equity(4 [MATIC]),67.6515223516169
