date,open,high,low,close,volume,dividend,ratio
2019-04-28,0.004521,0.004545,0.004317,0.004421,8408136,0.0,1
2019-04-29,0.004418,0.004492,0.003471,0.003471,8267044,0.0,1
2019-04-30,0.003462,0.005078,0.003458,0.004478,25072706,0.0,1
2019-05-01,0.00444,0.004673,0.004071,0.004374,10567352,0.0,1
2019-05-02,0.004366,0.0047,0.004096,0.004198,6714908,0.0,1
2019-05-03,0.004192,0.004396,0.003952,0.004256,5702394,0.0,1
2019-05-04,0.004256,0.004265,0.003819,0.003968,3178995,0.0,1
2019-05-05,0.003969,0.004065,0.003578,0.003747,3467564,0.0,1
2019-05-06,0.003746,0.003932,0.003523,0.003769,4689162,0.0,1
2019-05-07,0.003768,0.003851,0.00335,0.003364,3805657,0.0,1
2019-05-08,0.003343,0.003482,0.00326,0.003352,2938835,0.0,1
2019-05-09,0.003351,0.00338,0.003012,0.003141,4588498,0.0,1
2019-05-10,0.003143,0.00389,0.003099,0.00377,8654899,0.0,1
2019-05-11,0.003775,0.004944,0.003732,0.004608,13370479,0.0,1
2019-05-12,0.004619,0.005704,0.004443,0.005273,17955639,0.0,1
2019-05-13,0.005273,0.009172,0.005125,0.008667,74304041,0.0,1
2019-05-14,0.008548,0.011146,0.007257,0.007753,98051040,0.0,1
2019-05-15,0.007731,0.010022,0.007102,0.009512,49168290,0.0,1
2019-05-16,0.009549,0.01197,0.008346,0.010909,59175168,0.0,1
2019-05-17,0.010863,0.015077,0.009329,0.014353,168390964,0.0,1
2019-05-18,0.014353,0.014799,0.012092,0.012293,56628223,0.0,1
2019-05-19,0.01232,0.020749,0.012309,0.020231,141440073,0.0,1
2019-05-20,0.020231,0.032911,0.019292,0.029343,396597433,0.0,1
2019-05-21,0.029349,0.045017,0.025149,0.029454,698132268,0.0,1
2019-05-22,0.029454,0.031612,0.020417,0.022186,266364855,0.0,1
2019-05-23,0.022186,0.033811,0.021874,0.027273,419427516,0.0,1
2019-05-24,0.027429,0.028596,0.022959,0.025363,150950422,0.0,1
