date,open,high,low,close,volume,dividend,ratio
2017-11-09,0.617684,1.041397,0.506469,0.704331,96116.0,0.0,1
2017-11-10,0.74113,0.998883,0.509125,0.597987,35048.0,0.0,1
2017-11-11,0.627116,0.880703,0.487586,0.588388,28632.0,0.0,1
2017-11-12,0.617152,0.812567,0.426042,0.514735,37330.0,0.0,1
2017-11-13,0.547342,0.772536,0.444365,0.554383,23050.0,0.0,1
2017-11-14,0.580941,0.78377,0.473939,0.562011,16266.0,0.0,1
2017-11-15,0.587776,0.809717,0.47739,0.573923,35440.0,0.0,1
2017-11-16,0.603716,0.829621,0.486987,0.587747,26029.0,0.0,1
2017-11-17,0.608033,0.804304,0.473639,0.56428,19092.0,0.0,1
2017-11-18,0.588418,0.823699,0.471191,0.58797,16378.0,0.0,1
2017-11-19,0.612803,0.863974,0.498004,0.614766,25329.0,0.0,1
2017-11-20,0.645135,0.940271,0.528112,0.636336,81873.0,0.0,1
2017-11-21,0.667472,0.890553,0.518697,0.619975,31482.0,0.0,1
2017-11-22,0.651095,0.871565,0.532956,0.628857,26143.0,0.0,1
2017-11-23,0.6589,0.882046,0.532475,0.616273,28071.0,0.0,1
2017-11-24,0.644275,0.988544,0.526471,0.661235,42597.0,0.0,1
2017-11-25,0.689355,0.95934,0.558728,0.686329,34612.0,0.0,1
2017-11-26,0.719779,1.135176,0.589239,0.775118,154076.0,0.0,1
2017-11-27,0.816868,1.528688,0.678782,1.010513,392647.0,0.0,1
2017-11-28,1.059552,3.070727,0.838541,2.056374,1202373.0,0.0,1
2017-11-29,2.133605,3.364193,1.250845,1.563612,1049928.0,0.0,1
2017-11-30,1.724115,2.946645,1.415396,2.017532,620358.0,0.0,1
2017-12-01,2.063247,3.004056,1.659241,2.20062,368250.0,0.0,1
2017-12-02,2.310327,3.179139,1.882954,2.23052,284592.0,0.0,1
2017-12-03,2.337466,3.216097,1.840917,2.223295,234989.0,0.0,1
2017-12-04,2.326642,3.342662,1.866637,2.301426,383159.0,0.0,1
2017-12-05,2.402427,3.266263,1.879568,2.251881,262814.0,0.0,1
2017-12-06,2.343879,4.447656,1.762353,2.636567,688188.0,0.0,1
2017-12-07,2.771013,4.694436,2.066219,2.479274,884618.0,0.0,1
2017-12-08,2.618144,3.71393,1.858211,2.481051,497989.0,0.0,1
2017-12-09,2.585938,4.020258,2.101223,2.591351,377343.0,0.0,1
2017-12-10,2.721991,4.249516,1.998854,2.775096,550670.0,0.0,1
2017-12-11,2.904564,4.215957,2.296677,2.90634,323690.0,0.0,1
2017-12-12,3.063392,4.732941,2.445002,3.261125,513748.0,0.0,1
2017-12-13,3.430336,5.445969,2.662868,3.838542,696727.0,0.0,1
2017-12-14,4.020771,7.91212,3.078232,5.543235,2024780.0,0.0,1
2017-12-15,5.667146,7.421247,3.778592,4.763265,1294864.0,0.0,1
2017-12-16,5.003787,11.483164,3.938911,7.531195,3102445.0,0.0,1
2017-12-17,7.619773,14.337211,6.203513,9.228873,3269722.0,0.0,1
2017-12-18,9.656617,13.172648,7.359203,9.504064,1432129.0,0.0,1
2017-12-19,9.993341,14.434226,7.832699,9.517409,1521074.0,0.0,1
2017-12-20,10.004321,13.487788,6.967905,8.989597,1102462.0,0.0,1
2017-12-21,9.472027,13.25851,7.304365,8.756024,964276.0,0.0,1
2017-12-22,9.200123,12.01008,4.683,7.37132,816129.0,0.0,1
2017-12-23,7.84813,11.246214,6.209569,7.519805,508709.0,0.0,1
2017-12-24,7.926449,10.312903,5.53291,7.113445,409858.0,0.0,1
2017-12-25,7.500738,10.868453,5.841542,7.578949,722809.0,0.0,1
2017-12-26,7.896197,10.731204,6.358038,7.672978,581218.0,0.0,1
2017-12-27,8.028637,10.585366,6.271438,7.419507,516947.0,0.0,1
2017-12-28,7.736822,10.345404,5.774137,7.398205,535054.0,0.0,1
2017-12-29,7.806084,13.327644,6.365942,9.231336,1457449.0,0.0,1
2017-12-30,9.663859,17.915683,7.234161,10.998412,3358585.0,0.0,1
2017-12-31,11.584875,17.520949,9.578618,12.265963,1629535.0,0.0,1
2018-01-01,12.851307,17.017336,9.981532,12.371711,877400.0,0.0,1
2018-01-02,12.89939,18.453345,10.386673,13.254323,1630557.0,0.0,1
2018-01-03,13.838078,25.788119,11.435162,18.444012,3698507.0,0.0,1
2018-01-04,19.543562,31.252709,15.366481,19.61728,3277261.0,0.0,1
2018-01-05,21.414695,29.736109,13.791989,17.392,2775309.0,0.0,1
2018-01-06,18.195713,25.333246,14.25913,18.064879,1738000.0,0.0,1
2018-01-07,18.86927,26.466875,15.28272,18.507335,1607302.0,0.0,1
2018-01-08,19.271424,25.220806,12.158624,16.867517,1643192.0,0.0,1
2018-01-09,17.653549,24.590342,13.368799,15.883128,1569343.0,0.0,1
2018-01-10,16.692556,21.856185,11.42464,14.976273,1447224.0,0.0,1
2018-01-11,15.663318,20.397688,9.508922,12.856949,1353971.0,0.0,1
2018-01-12,13.609581,23.010999,10.767319,16.149721,1985108.0,0.0,1
2018-01-13,17.234705,23.665131,13.208884,15.862155,1724831.0,0.0,1
2018-01-14,16.597031,21.593979,11.663302,14.263045,943623.0,0.0,1
2018-01-15,14.818904,21.150442,11.867247,13.620976,4979425.0,0.0,1
2018-01-16,14.311621,18.62049,7.367602,10.801964,8217689.0,0.0,1
2018-01-17,11.274899,16.798478,6.891775,11.464722,8795246.0,0.0,1
2018-01-18,12.033516,17.457087,9.303701,11.837734,6576082.0,0.0,1
2018-01-19,12.220938,17.028977,9.632557,11.766484,3078199.0,0.0,1
2018-01-20,12.451578,17.887802,10.241903,12.78561,3846949.0,0.0,1
2018-01-21,13.380692,17.409282,9.20322,10.971915,4365178.0,0.0,1
2018-01-22,11.551855,15.805375,8.247529,10.335788,2796473.0,0.0,1
2018-01-23,10.765692,15.27966,8.299553,10.584035,2152383.0,0.0,1
2018-01-24,11.098787,16.105048,8.864675,11.317819,3573059.0,0.0,1
