Date,Open,High,Low,Close,Adj Close,Volume
2021-01-27,7.995242,10.402408,5.815080,6.870363,6.870363,13585976
2021-01-28,6.573647,7.893422,5.985140,7.113617,7.113617,6305734
2021-01-29,7.168964,7.255081,6.257099,6.401576,6.401576,3050819
2021-01-30,6.283701,9.067938,6.258788,9.037314,9.037314,6769881
2021-01-31,9.023107,12.156416,8.512012,9.747855,9.747855,14218899
2021-02-01,9.743798,12.076437,9.617343,9.826334,9.826334,11450509
2021-02-02,9.828117,11.448980,9.003588,9.349349,9.349349,60980068
2021-02-03,9.355346,9.612667,8.766202,8.779062,8.779062,8128178
2021-02-04,8.792222,9.004745,8.011910,8.688290,8.688290,14893555
2021-02-05,8.665707,10.931834,8.623886,10.713033,10.713033,12080517
2021-02-06,10.736565,10.793172,9.672312,10.345093,10.345093,16451138
2021-02-07,10.368066,10.446315,9.951282,10.087399,10.087399,8314735
2021-02-08,10.088975,10.633428,9.926896,10.056644,10.056644,13189019
2021-02-09,10.033113,11.372546,10.023782,11.367342,11.367342,7433501
2021-02-10,11.375325,12.024118,11.066378,11.416700,11.416700,17490309
2021-02-11,11.419665,12.618747,11.395247,12.615193,12.615193,5612899
2021-02-12,12.636601,14.870812,12.633067,14.633010,14.633010,13954053
2021-02-13,14.621171,15.076382,13.876881,14.779347,14.779347,6661175
2021-02-14,14.778981,18.695560,14.381586,17.771852,17.771852,10945868
2021-02-15,17.857443,20.064926,16.231548,19.146502,19.146502,58256176
2021-02-16,19.150932,19.367401,17.364483,19.154984,19.154984,30352819
2021-02-17,19.154009,19.539570,16.827089,17.192242,17.192242,24257216
2021-02-18,17.193939,19.437328,17.193939,19.122276,19.122276,22907428
2021-02-19,19.120630,19.159660,17.708611,18.626898,18.626898,21658615
2021-02-20,18.640251,18.971100,18.018545,18.729145,18.729145,16706781
2021-02-21,18.744757,26.218536,18.559273,21.877127,21.877127,76251137
2021-02-22,21.876944,23.189335,18.279095,22.626467,22.626467,54680574
2021-02-23,22.584019,23.573483,18.205784,21.309868,21.309868,45629455
2021-02-24,21.360050,23.056444,19.942251,20.965206,20.965206,23362272
