Date,Open,High,Low,Close,Adj Close,Volume
2021-04-09,648.203491,690.383057,625.780762,674.858032,674.858032,66587
2021-04-10,674.990417,699.420166,584.168640,625.629456,625.629456,45892
2021-04-11,625.729858,646.006592,611.256958,617.203491,617.203491,29743
2021-04-12,617.103394,654.126221,603.326660,650.047058,650.047058,40665
2021-04-13,650.226929,660.014404,592.307251,637.940674,637.940674,40835
2021-04-14,639.809082,663.532349,607.798340,629.917480,629.917480,9938
2021-04-15,629.990540,667.411255,603.493469,632.780762,632.780762,50277
2021-04-16,632.287292,650.953735,599.410950,636.978699,636.978699,9393
2021-04-17,637.256836,684.446533,596.864624,634.314941,634.314941,19009
2021-04-18,633.743164,638.575562,552.274170,593.115723,593.115723,83903
2021-04-19,593.530518,625.548279,544.720764,579.710388,579.710388,74710
2021-04-20,582.213928,660.627319,559.253174,611.163818,611.163818,31976
2021-04-21,612.917480,644.381714,557.547363,566.153564,566.153564,37131
2021-04-22,566.892456,646.360413,555.921082,568.444092,568.444092,36144
2021-04-23,568.279053,572.537048,492.584076,534.481323,534.481323,23055
2021-04-24,534.677612,535.288391,478.078400,487.828796,487.828796,23919
2021-04-25,487.884369,551.482666,479.029510,543.778748,543.778748,15386
2021-04-26,543.891541,602.847534,543.891541,601.144836,601.144836,25543
2021-04-27,601.092957,702.473145,593.415894,701.836670,701.836670,126971
2021-04-28,701.836304,805.935852,687.247559,771.209473,771.209473,128975
2021-04-29,771.228638,791.635010,728.342041,755.077026,755.077026,125829
2021-04-30,754.654846,782.413757,742.407166,782.222046,782.222046,61451
2021-05-01,782.100342,826.332825,751.641357,759.121033,759.121033,69826
2021-05-02,759.290161,885.574829,683.801575,739.235962,739.235962,16046
2021-05-03,754.300537,827.303894,713.685120,813.110413,813.110413,38989
2021-05-04,813.095154,815.278076,707.854736,707.854736,707.854736,38579
2021-05-05,707.794006,808.475891,705.743713,780.696350,780.696350,45725
2021-05-06,780.696350,782.954102,707.614502,723.062988,723.062988,20722
2021-05-07,722.414490,727.989807,680.174622,689.282410,689.282410,8517
2021-05-08,689.514648,955.474182,647.907471,944.088928,944.088928,0
2021-05-09,943.980652,962.995300,704.091125,727.545715,727.545715,10173
2021-05-10,728.884094,803.963745,658.972534,696.855408,696.855408,8271
2021-05-11,698.736511,732.604309,629.284607,723.261658,723.261658,47887
2021-05-12,723.600342,772.081665,679.497070,686.020752,686.020752,1609
2021-05-13,679.924988,972.854492,579.608643,638.347412,638.347412,39858
2021-05-14,639.442139,783.111755,637.420288,770.075867,770.075867,10747
2021-05-15,768.571411,869.362976,763.932007,804.409058,804.409058,156053
2021-05-16,803.546265,855.141663,733.887573,777.226379,777.226379,39004
2021-05-17,778.307556,799.895508,708.391052,771.295044,771.295044,26526
2021-05-18,771.088623,1008.241882,769.546753,990.664795,990.664795,151331
2021-05-19,990.683655,1010.593506,562.684814,645.033508,645.033508,137915
