,Date,ADA_close,AVAX_close,FLOW_close,MANA_close,MATIC_close,SOL_close,TFUEL_close,Number of sales,Sales USD,Average USD,Active market wallets,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers
21,2017-10-23,0.025933067,1.0089524287262497,0.3932248961110217,0.0045039399974005,0.0017499165913551,0.3932547470155331,0.0036022849682185,0,0.0,,0,0,0,0.0,0.0,0,0
22,2017-10-24,0.027303028,1.0568675919179982,0.4118991512411712,0.004717832163014,0.001833020151701,0.4119304197655033,0.0037733575254582,0,0.0,,0,0,0,0.0,0.0,0,0
23,2017-10-25,0.027481451,1.0924387769585395,0.4257625159983891,0.0048766210994372,0.0018947144448157,0.4257948369331399,0.0039003581069772,1,44.77,44.77,2,0,1,0.0,44.77,1,1
24,2017-10-26,0.027192794,1.0895573158141736,0.4246395073937398,0.0048637583244147,0.0018897168685967,0.4246717430774728,0.0038900703631041,7,268.92,38.42,5,0,7,0.0,268.92,4,1
25,2017-10-27,0.026331146,1.0928367726267791,0.4259176291641245,0.0048783977427733,0.0018954047243604,0.4259499618739901,0.0039017790796339,6,178.76,29.79,3,0,6,0.0,178.76,2,1
26,2017-10-28,0.025976634,1.2159946456546655,0.4739166630608799,0.0054281716018098,0.002109008457531,0.4739526395242099,0.0043414923328011,6,177.88,29.65,3,0,6,0.0,177.88,2,1
27,2017-10-29,0.028397245,2.1769937391504257,0.8484524270311609,0.0097180490345104,0.0037757552833537,0.8485168356498223,0.0077725684573135,1,21.26,21.26,2,0,1,0.0,21.26,1,1
28,2017-10-30,0.028343225,2.233548670763515,0.8704939093398939,0.009970508923887,0.003873843568128,0.8705599911948895,0.0079744877690948,3,217.44,72.48,6,0,3,0.0,217.44,3,3
29,2017-10-31,0.030536733,2.010544355561657,0.7835811410260645,0.008975022886851,0.0034870672048379,0.7836406250670014,0.0071782905752254,6,221.59,36.93,5,0,6,0.0,221.59,3,2
30,2017-11-01,0.023359048,1.8996828376913064,0.7403744371160365,0.0084801396690771,0.0032947901420738,0.7404306412039353,0.0067824792683609,4,111.09,27.77,3,0,4,0.0,111.09,1,2
31,2017-11-02,0.021463315,2.352312340707876,0.9167803649209488,0.0105006671633352,0.0040798260412048,0.9168499605223512,0.0083985123026906,3,111.96,37.32,4,0,3,0.0,111.96,2,2
