Symbol,Date,actuals,predicted
ADA,2021-09-20,-0.0483747288584138,0.019084019746561917
ADA,2021-09-21,0.1346638676732054,0.031653409810380236
ADA,2021-09-22,0.03231875621357,0.020785771627117214
ADA,2021-09-23,-0.0199216192661471,0.056848945459638554
ADA,2021-09-24,0.0152133696105274,0.028073700796888965
ADA,2021-09-25,-0.0428762357986852,0.0021510436646171548
ADA,2021-09-26,-0.0319058457865983,0.018237696499243276
ADA,2021-09-27,-0.046648345723316,0.002524828869497788
ADA,2021-09-28,0.0109610639286401,0.02282430002791592
ADA,2021-09-29,0.0244069633925045,0.02661691839713272
ADA,2021-09-30,0.0653464133707788,0.038080191477309844
ADA,2021-10-01,0.0015578161335065,0.015412437814834251
ADA,2021-10-02,0.0007649404023415,0.03203090200973494
ADA,2021-10-03,-0.0270481890738332,0.012443602401471866
ADA,2021-10-04,0.018183565627815,0.06292392069399062
ADA,2021-10-05,-0.0093133686060365,0.03167278808276103
ADA,2021-10-06,0.029670057811592,-0.0107618965505261
ADA,2021-10-07,-0.0214579367675263,0.032900785636527666
ADA,2021-10-08,0.0165944027564453,0.02080680965449397
ADA,2021-10-09,-0.031308205079898,0.006160429078455919
ADA,2021-10-10,-0.0109055805579664,0.014937711811225557
ADA,2021-10-11,-0.0285710114145734,0.0008048969616642129
ADA,2021-10-12,0.0349273964309289,0.018221748008478776
ADA,2021-10-13,-0.0056014264491393,0.02534520706070245
ADA,2021-10-14,0.0218580672284696,-0.014704433011510578
ADA,2021-10-15,-0.0177552823918532,-0.003356293438863095
ADA,2021-10-16,-0.0091660713182932,-0.030151492457167965
ADA,2021-10-17,-0.0159855160652271,-0.02233971190812048
ADA,2021-10-18,-0.0065593925351141,0.002272918496099164
ADA,2021-10-19,0.0360807921027903,-0.01014288288658496
ADA,2021-10-20,-0.0211888398322048,-0.00029778386049093136
ADA,2021-10-21,0.0078156209370685,0.0014371931339262622
ADA,2021-10-22,0.0021680979712392,-0.009059242259809745
ADA,2021-10-23,-0.0203509240069036,0.01064358249889707
ADA,2021-10-24,0.0119765010707271,0.008932278578763726
ADA,2021-10-25,-0.0020270936922538,0.012199437905393394
ADA,2021-10-26,-0.1011233668811292,0.0037081770990581367
ADA,2021-10-27,0.032904362504516,0.0016355286095136416
ADA,2021-10-28,0.01246285327014,-0.006497429342740536
ADA,2021-10-29,-0.0311810328486454,-0.005481126581486039
ADA,2021-10-30,0.0082694106588625,0.012267570376909705
ADA,2021-10-31,-0.0064312891637299,0.013404735761993134
ADA,2021-11-01,0.0093644103896437,0.022555281305268897
ADA,2021-11-02,0.0467109650171633,0.00377360080988063
ADA,2021-11-03,-0.0386456916065003,0.004907831087580637
ADA,2021-11-04,-0.0007033881287101,-0.0016598710323717197
ADA,2021-11-05,0.0113091694416589,0.026662040956517606
ADA,2021-11-06,0.0077246944082585,0.034244509173584514
ADA,2021-11-07,0.053757250838508,0.022554671279706597
ADA,2021-11-08,0.0668470099474696,-0.025329290763082338
ADA,2021-11-09,-0.0781739475964694,-0.00800752900767598
ADA,2021-11-10,-0.0040841368184748,-0.00882968537030173
ADA,2021-11-11,-0.0152983786407446,0.001435331417466254
ADA,2021-11-12,0.0007064413003594,0.017411023486968907
ADA,2021-11-13,-0.0070090306538432,0.0018837116464323483
ADA,2021-11-14,-0.0092005591214772,0.02490314499107192
ADA,2021-11-15,-0.0697551043247798,-0.09360912507386196
ADA,2021-11-16,-0.0033189444759823,0.026113135015249783
ADA,2021-11-17,-0.0498415494898447,0.01399899029012632
ADA,2021-11-18,0.0462451677084505,-0.004016767036470189
ADA,2021-11-19,0.0336294172530169,0.011030099424201889
ADA,2021-11-20,-0.0435221102634771,0.006791555807568159
ADA,2021-11-21,-0.0334728112478369,0.03554220122856222
ADA,2021-11-22,-0.0161071361516051,0.04388171490818934
ADA,2021-11-23,-0.049486385126383,0.03425253487173093
ADA,2021-11-24,0.0075148795812616,0.04703460873901919
ADA,2021-11-25,-0.0866694638749171,0.04780599176546916
ADA,2021-11-26,0.0045581254112256,0.04835903042520102
ADA,2021-11-27,0.0369202886572548,0.037363068465286704
ADA,2021-11-28,0.0070351816561311,0.049949837479332924
ADA,2021-11-29,-0.0307579632004354,0.045770198915405104
ADA,2021-11-30,-0.0062055012179468,0.04039322632346921
ADA,2021-12-01,0.1108349978781628,0.05682584803693042
ADA,2021-12-02,-0.0893035733428889,0.04057382885239199
ADA,2021-12-03,-0.0966657506215765,0.05117039221023139
ADA,2021-12-04,-0.0288368724463442,0.06935384767650042
ADA,2021-12-05,0.0341444590476918,0.05772859664411528
ADA,2021-12-06,-0.0282743809961114,0.055431675853256694
ADA,2021-12-07,0.0114681204172881,0.04592141888209989
ADA,2021-12-08,-0.0696725484801532,0.027099593347381414
ADA,2021-12-09,-0.0633198205070733,0.06624343004564556
ADA,2021-12-10,0.1101930479000385,0.05078708710063947
ADA,2021-12-11,-0.0010065378350837,0.02155141107090769
ADA,2021-12-12,-0.0924618736929329,0.010502122708495168
ADA,2021-12-13,0.0339099033480865,0.03283187573177566
ADA,2021-12-14,0.0333646990495171,0.031725851774532264
ADA,2021-12-15,-0.0482177312343693,0.030018704986577043
ADA,2021-12-16,-0.0185527926713229,0.03643599927728019
ADA,2021-12-17,0.0170089221919234,0.038747471054435656
ADA,2021-12-18,0.0012976775863899,0.020847825086785975
ADA,2021-12-19,-0.0053296471506174,0.011161355935137023
ADA,2021-12-20,0.0336339849941353,0.023025050575207484
ADA,2021-12-21,0.0406999423315406,0.024930211351321833
