Date,Open,High,Low,Close,Volume,Market Cap
2021-03-11,34.308948612,34.326578406,31.240040157,32.405778785,93223112.7686632,992273195.8493868
2021-03-12,32.481181131,35.124425488,30.372162581,35.124425488,95972351.55327377,978496781.5544128
2021-03-13,35.457481745,38.925047008,34.516860465,37.812474595,192452828.75055808,5257210699550667.0
2021-03-14,37.539920466,37.619820415,34.145554383,36.283679877,143752664.20402935,1093311973.034763
2021-03-15,36.294782735,37.177863401,32.990710959,34.798217707,96114619.8381016,1070179602.0826036
2021-03-16,34.798217707,34.798217707,32.53,33.44,78808864.9692031,1011428494.8839992
2021-03-17,33.44,34.04,31.26,32.16093272,63731504.45848332,987081678.718696
2021-03-18,32.16093272,32.75,31.518265291,31.518265291,73886859.17263584,976805322.3772938
2021-03-19,31.530736194,32.65,31.04,31.68,57059359.01547299,966599617.6569644
2021-03-20,31.65,32.39,31.41,31.42,46652850.38425477,975938425.0032924
2021-03-21,31.37,31.51,29.32,30.1,46758307.301786594,932680953.8572272
2021-03-22,30.13,30.13,26.49,26.82,57850752.46147211,876668032.0822188
2021-03-23,27.0,28.13,24.24,26.3,75354549.71738324,802155722.3701206
2021-03-24,26.28,28.66,25.19,25.58,76405129.22706719,829866621.5983219
2021-03-25,25.58,26.3,24.31,25.43,56566909.4064401,769868463.9300786
2021-03-26,25.41,32.99,25.38,29.86,185274207.39355865,877197887.0133468
2021-03-27,29.76,30.33,27.45,27.45,166372671.85317227,881549383.8801886
2021-03-28,27.37,30.68,27.23,29.67,82055288.90964612,885600041.4336754
2021-03-29,29.67,33.57,29.65,32.61,98341093.85397422,970895077.7160672
2021-03-30,32.61,34.45,31.68,32.97,89726638.33924846,998273536.252119
2021-03-31,32.97,36.35,32.87,34.39,124144801.21940205,1040271488.653294
2021-04-01,34.39,34.69,31.04,31.04,104122291.54040548,1012903290.488174
2021-04-02,31.03,32.28,29.17,29.64,86244418.11399098,934640024.852278
2021-04-03,29.951263839,33.31,29.75,30.25,93205297.59316044,960014057.3721488
2021-04-04,30.27,35.62,30.19,34.85,88243549.06909314,997606452.8284166
2021-04-05,34.63,42.75,34.14,38.41,239889567.9815769,1153382160.8111234
2021-04-06,38.59,40.77,36.17,38.36,296371017.83521795,1297089306.7786026
2021-04-07,38.65,39.27,33.01,35.04,174608080.95800284,1209752926.1939828
2021-04-08,35.05,35.63,33.83,35.34,113512176.66361676,1179795239.1754825
2021-04-09,35.35,36.45,34.68,35.23,77522627.84646697,1210298140.8578222
2021-04-10,35.25,36.53708024,34.8,35.0,68701296.61572216,1200164458.9015677
2021-04-11,35.0,35.43,33.14309874,33.65,63748156.98639375,1155641403.0639274
2021-04-12,33.79,41.533978278,33.38,40.73,205020441.95658347,1333334228.1830845
2021-04-13,40.81,42.502663585,40.31,41.21,190964837.8197106,1392148062.9327233
2021-04-14,41.14,41.25,37.68,39.28,109767824.36837836,1325097594.0365572
2021-04-15,39.7,40.45,38.73,40.07,77136592.64443175,1335480033.6409626
2021-04-16,40.25,40.25,36.793345173,38.6,92818311.70020202,1290080660.593634
2021-04-17,38.47,38.47,36.86,37.11,76031874.25026353,1272067421.2451396
2021-04-18,37.04,38.21,31.75,34.804559304,117763462.86264424,1166388076.8012855
2021-04-19,34.921012031,44.91,34.18,37.626945054,166853492.92934272,1251311998.6136804
2021-04-20,37.526596463,44.150137957,35.326106162,38.17,323791324.85658216,1306380081.390274
2021-04-21,37.96,37.96,35.5,35.64,148272360.69173008,1255396167.6119995
2021-04-22,35.57,36.82,28.44,30.440010117,101149411.05191974,1184925030.8922362
2021-04-23,30.249625518,30.91088968,25.14,28.305123062,125222790.65068932,915367356.5453136
2021-04-24,28.371418392,29.87,26.997134274,27.89,80209049.27818678,949045663.7437932
2021-04-25,27.83,29.7,26.89,27.83,61617195.09191234,966608311.822852
