Date,Open,High,Low,Close,Volume,Market Cap
2020-04-09,0.663251536,0.744465092,0.587101852,0.689381485,1313219.496047334,0.0
2020-04-10,0.687633864,1.299801204,0.609707381,0.946813204,39815492.51653685,0.0
2020-04-11,0.947323334,1.049920341,0.768842439,0.777010064,80719663.9141607,0.0
2020-04-12,0.785998514,0.959297308,0.763816238,0.896544504,42350947.877818525,0.0
2020-04-13,0.87970593,0.87970593,0.776556801,0.776556801,28375420.39796751,0.0
2020-04-14,0.779905013,0.794760946,0.631786936,0.667401038,17248681.988359235,0.0
2020-04-15,0.669732467,0.704085706,0.62432148,0.640061485,16763606.158147937,0.0
2020-04-16,0.642947333,0.7701362712736539,0.623893777,0.695207797,20101247.95183761,0.0
2020-04-17,0.692535329,0.712330267,0.660750808,0.669178101,15090112.024341604,0.0
2020-04-18,0.656815898,0.720086909,0.656780291,0.679662929,9926508.311040549,0.0
2020-04-19,0.674509548,0.682019364,0.596405204,0.603444982,10263900.828399751,0.0
2020-04-20,0.608309735,0.636288263,0.522787345,0.539100427,8982139.05781131,0.0
2020-04-21,0.538977776,0.602115141,0.507988437,0.573963707,8407788.552026711,0.0
2020-04-22,0.574513844,0.699509441,0.571206318,0.682634747,13925364.82650524,0.0
2020-04-23,0.684312844,0.697518922,0.604986709,0.618788031,17431913.897143822,0.0
2020-04-24,0.632380916,0.665927718,0.612979682,0.623450246,10356309.881044578,0.0
2020-04-25,0.623710283,0.666586002,0.615041571,0.654777605,7645100.244472867,0.0
2020-04-26,0.64459576,0.686144643,0.629594615,0.64195028,8700374.457077928,0.0
2020-04-27,0.637959067,0.656527493,0.56045022,0.567725424,8239886.325920279,0.0
2020-04-28,0.572693252,0.694038593,0.567500279,0.657276554,6704952.433319892,0.0
2020-04-29,0.657920804,0.779131833,0.652148004,0.739942783,8938398.377614839,0.0
2020-04-30,0.742506347,0.801741163,0.684341857,0.684341857,7245148.506017592,0.0
2020-05-01,0.687189593,0.733256653,0.685266846,0.722026932,4274244.602659759,0.0
2020-05-02,0.725576686,0.744337534,0.703967321,0.708921727,3916179.7711176327,0.0
2020-05-03,0.713219344,0.727188286,0.655671621,0.680586265,3221877.053442433,0.0
2020-05-04,0.683976378,0.701830077,0.615509871,0.664034359,3055335.263691211,0.0
2020-05-05,0.665092371,0.67989166,0.624841617,0.647651297,3370808.686337546,0.0
2020-05-06,0.643223216,0.668982206,0.618070632,0.618070632,2708976.4408220267,0.0
2020-05-07,0.615559183,0.633133478,0.571386542,0.599580682,3032455.2287472007,0.0
2020-05-08,0.605443364,0.633976724,0.589114805,0.607790285,2883767.730226152,0.0
2020-05-09,0.602268379,0.624094744,0.59127384,0.602428196,2398483.5926855197,0.0
2020-05-10,0.601660674,0.605843776,0.513183219,0.53700151,2320719.010974652,0.0
2020-05-11,0.536523902,0.570684676,0.503700654,0.521743591,2118907.966995958,0.0
2020-05-12,0.513735397,0.559638592,0.505497883,0.53786295,2222639.0116571123,0.0
2020-05-13,0.538124922,0.56289825,0.518963976,0.553578184,2127181.8009473816,0.0
2020-05-14,0.553827909,0.580196265,0.552394069,0.574358604,2322706.235895609,0.0
2020-05-15,0.57038751,0.576769724,0.546392854,0.554984346,1907665.5199705795,0.0
2020-05-16,0.557346543,0.606827602,0.553282376,0.599306014,2152732.7962337667,0.0
