Date,Open,High,Low,Close,Volume,Market Cap
2020-09-23,5.261696842,5.318716757,3.427384057,3.492394167,259345915.76437584,103791581.0634062
2020-09-24,3.509853083,4.748917918,3.467769923,4.561417653,166552062.37062702,98117205.55782644
2020-09-25,4.588483587,4.946712725,4.218945083,4.692852097,141296659.96686673,112590896.9537187
2020-09-26,4.70477691,4.789347204,4.365413603,4.54030376,89634159.000846,112092149.19775346
2020-09-27,4.523858819,4.70054413,4.132225611,4.629957956,60391730.732168645,108410537.04102948
2020-09-28,4.646587214,4.650979956,4.207510485,4.207510485,50731591.17662078,107855474.64146346
2020-09-29,4.201165794,4.278654308,3.974784193,4.138491676,45290933.5975351,101629892.33644836
2020-09-30,4.136230958,4.399314375,4.008929547,4.324006442,42680912.11065201,102330816.536507
2020-10-01,4.324491145,4.495963851,4.049013171,4.149639555,51142674.88924398,103982184.14443707
2020-10-02,4.153906184,4.202838649,3.710197891,3.913238765,54366457.279899895,96557347.37651215
2020-10-03,3.906714262,4.166982031,3.87464151,4.024100236,55925563.15017456,97971978.57011186
2020-10-04,4.023618974,4.062489401,3.838295548,3.959449402,36539441.27550823,96378579.95764624
2020-10-05,3.966578273,4.032230962,3.884940475,3.982928269,31265843.13186917,97230009.11478598
2020-10-06,3.981145907,3.987033443,3.503211405,3.527619903,33155725.383143123,90466765.70587812
2020-10-07,3.537722629,3.537722629,3.207481569,3.436552972,38955893.48378586,82559557.09619054
2020-10-08,3.444938783,3.935594077,3.331720422,3.899335813,40661307.72203359,88431259.99294268
2020-10-09,3.911010328,4.2957897,3.809313661,4.253567734,43450307.76316375,99105215.66818292
2020-10-10,4.24271836,4.26044747,4.012063479,4.026368579,38469505.43802612,100936642.04798958
2020-10-11,4.02204424,4.159069654,3.973156377,4.103893602,34351480.437148415,99650022.4119024
2020-10-12,4.096580779,4.65868538,4.058335222,4.419561444,36722591.07586421,106176553.30403496
2020-10-13,4.414645941,4.53832555,4.342912564,4.485203144,45018889.8248515,109494627.76309484
2020-10-14,4.482077619,4.483389911,4.02168812,4.154401354,32412703.605342627,104429117.97730497
2020-10-15,4.152551566,4.219126976,4.011077201,4.126524079,29595415.459051847,100634802.2661383
